season,player_id,player_name,pos,age,team,games,games_started,minutes_per_game,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,fg_pct,fg3_pct,fg2_pct,ft_pct,efg_pct,per,ts_pct,usg_pct,bpm,obpm,dbpm,vorp,ws,ws_per_48,years_in_league
2005-06,villach01,Charlie Villanueva,PF,21,TOR,81,36,29.148,13.0,6.432,1.086,0.741,0.778,1.222,0.4628,0.3271,0.5028,0.7063,0.5,16.4,0.5211,21.7,-0.9,0.7,-1.6,0.6,3.9,0.079,1
2005-06,murphtr01,Troy Murphy,PF,25,GSW,74,74,34.0,13.986,10.041,1.365,0.635,0.351,1.459,0.4332,0.3204,0.4642,0.7868,0.4678,15.9,0.5289,19.2,-0.3,0.5,-0.9,1.1,6.5,0.124,
2005-06,onealje01,Jermaine O'Neal,PF,27,IND,51,47,35.333,20.078,9.333,2.608,0.529,2.294,2.961,0.472,0.3,0.4742,0.7092,0.4739,20.4,0.5295,28.9,2.3,0.6,1.7,2.0,4.9,0.131,
2005-06,millemi01,Mike Miller,SG,25,MEM,74,9,30.649,13.703,5.365,2.703,0.703,0.365,1.892,0.4658,0.4071,0.5131,0.8,0.5566,17.2,0.5948,21.3,3.0,2.4,0.6,2.9,7.4,0.157,6
2005-06,iguodan01,Andre Iguodala,SF,22,PHI,82,82,37.634,12.28,5.866,3.11,1.646,0.256,1.866,0.5,0.3544,0.5434,0.7536,0.5407,14.8,0.5983,14.7,0.6,0.2,0.4,2.0,7.5,0.117,2
2005-06,francst01,Steve Francis,SG,28,2TM,70,60,34.186,14.357,4.143,4.929,1.057,0.243,3.057,0.4353,0.3012,0.4516,0.787,0.4516,15.2,0.5343,22.6,0.0,0.7,-0.7,1.2,3.6,0.072,
2005-06,simmobo01,Bobby Simmons,SF,25,MIL,75,74,33.84,13.36,4.44,2.293,1.147,0.28,1.64,0.453,0.42,0.4677,0.825,0.5179,13.8,0.5592,18.3,0.3,0.2,0.1,1.5,5.3,0.1,
2005-06,walkean02,Antoine Walker,PF,29,MIA,82,19,26.817,12.195,5.134,2.024,0.573,0.366,1.829,0.4354,0.3577,0.4932,0.6279,0.5117,14.4,0.5237,23.2,0.4,1.1,-0.7,1.3,3.6,0.079,
2005-06,artesro01,Metta World Peace,SF,26,2TM,56,56,39.411,17.571,5.107,3.625,2.179,0.732,2.339,0.4037,0.3083,0.443,0.6754,0.4487,15.2,0.4914,23.6,1.1,-0.2,1.3,1.7,3.7,0.08,7
2005-06,brezepr01,Primož Brezec,C,26,CHA,79,79,27.405,12.43,5.57,0.57,0.241,0.405,1.076,0.5171,0.0,0.5184,0.7321,0.5171,15.3,0.552,20.0,-2.4,-0.4,-2.0,-0.2,4.6,0.102,
2005-06,ginobma01,Manu Ginóbili,SG,28,SAS,65,56,27.892,15.092,3.538,3.615,1.554,0.4,1.862,0.4619,0.3825,0.5,0.7778,0.5239,22.4,0.5928,25.0,6.8,3.8,3.0,4.1,8.8,0.233,4
2005-06,curryed01,Eddy Curry,C,23,NYK,72,69,25.903,13.597,6.0,0.264,0.389,0.778,2.486,0.5628,,0.5628,0.6317,0.5628,17.0,0.6037,24.1,-2.1,-0.5,-1.6,0.0,3.3,0.085,
2005-06,marbust01,Stephon Marbury,PG,28,NYK,60,60,36.55,16.283,2.917,6.367,1.05,0.067,2.617,0.4509,0.3173,0.4716,0.7546,0.4722,16.4,0.5325,22.2,0.1,1.8,-1.7,1.1,3.9,0.085,
2005-06,davisba01,Baron Davis,PG,26,GSW,54,48,36.5,17.907,4.37,8.889,1.648,0.259,2.944,0.3891,0.3148,0.4339,0.6747,0.4483,18.3,0.4893,25.9,2.6,2.8,-0.2,2.3,4.4,0.107,
2005-06,feltora01,Raymond Felton,PG,21,CHA,80,54,30.075,11.85,3.312,5.575,1.275,0.1,2.275,0.3907,0.3579,0.4052,0.7252,0.4456,14.2,0.4833,21.4,-0.6,0.2,-0.8,0.8,2.6,0.052,1
2005-06,howarju01,Juwan Howard,PF,32,HOU,80,80,31.712,11.775,6.688,1.4,0.613,0.1,1.663,0.4587,0.0,0.4608,0.8063,0.4587,12.5,0.4994,20.2,-2.6,-2.0,-0.6,-0.4,3.7,0.07,
2005-06,parkesm01,Smush Parker,PG,24,LAL,82,82,33.817,11.476,3.305,3.683,1.707,0.195,1.793,0.4467,0.3659,0.5055,0.6944,0.5237,13.4,0.5482,16.5,0.1,-0.8,0.8,1.5,5.8,0.1,
2005-06,korveky01,Kyle Korver,SF,24,PHI,82,43,31.256,11.451,3.293,1.988,0.793,0.317,1.195,0.4297,0.4201,0.4427,0.8487,0.5506,12.3,0.5772,16.2,-0.6,0.3,-0.9,0.9,4.6,0.086,3
2005-06,dixonju01,Juan Dixon,SG,27,POR,76,42,25.263,12.303,2.329,1.961,0.763,0.079,1.487,0.4348,0.3824,0.4485,0.8041,0.4744,14.6,0.5158,25.2,-1.9,-0.2,-1.7,0.0,1.2,0.03,
2005-06,dunlemi02,Mike Dunleavy,SF,25,GSW,81,68,31.827,11.506,4.926,2.926,0.741,0.395,1.481,0.4056,0.2846,0.4622,0.7778,0.451,12.5,0.5028,18.1,-0.7,-0.7,0.0,0.9,4.2,0.078,4
2005-06,kamanch01,Chris Kaman,C,23,LAC,78,78,32.821,11.949,9.615,1.013,0.577,1.385,2.256,0.5227,0.0,0.5241,0.7698,0.5227,15.0,0.5705,17.9,-0.7,-1.3,0.6,0.8,6.1,0.114,3
2005-06,howarjo01,Josh Howard,SF,25,DAL,59,58,32.458,15.644,6.288,1.881,1.153,0.441,1.339,0.4711,0.4286,0.475,0.7341,0.4892,19.3,0.5363,22.9,2.2,2.2,0.0,2.0,6.7,0.168,
2005-06,blounma01,Mark Blount,C,30,2TM,81,55,27.654,11.284,4.506,1.222,0.494,0.938,2.395,0.5082,,0.5082,0.7568,0.5082,12.1,0.5495,21.4,-3.4,-2.9,-0.6,-0.8,1.7,0.036,
2005-06,pachuza01,Zaza Pachulia,C,21,ATL,78,78,31.436,11.679,7.859,1.654,1.141,0.5,2.308,0.4508,0.0,0.4521,0.7351,0.4508,15.0,0.5304,19.2,-2.1,-0.8,-1.3,-0.1,3.9,0.076,3
2005-06,ridnolu01,Luke Ridnour,PG,24,SEA,79,77,33.228,11.519,2.975,6.962,1.557,0.278,2.051,0.418,0.2886,0.4477,0.8767,0.4449,16.0,0.5062,18.1,-0.2,1.1,-1.3,1.2,4.4,0.08,
2005-06,nelsoja01,Jameer Nelson,PG,23,ORL,62,33,28.774,14.597,2.903,4.871,1.129,0.145,2.387,0.4826,0.4242,0.5,0.779,0.5313,19.5,0.5666,25.1,2.0,2.6,-0.6,1.8,4.9,0.132,2
2005-06,smithjo03,Josh Smith,SF,20,ATL,80,73,31.988,11.275,6.638,2.388,0.8,2.6,2.025,0.4251,0.3091,0.4443,0.7192,0.447,15.5,0.4997,18.9,0.3,-0.5,0.8,1.4,3.6,0.068,2
2005-06,stevede01,DeShawn Stevenson,SG,24,ORL,82,82,32.293,10.976,2.939,1.951,0.707,0.207,1.5,0.4597,0.1333,0.4661,0.7438,0.4609,10.9,0.5071,18.1,-2.5,-1.8,-0.8,-0.3,2.4,0.044,
2005-06,abdursh01,Shareef Abdur-Rahim,PF,29,SAC,72,30,27.236,12.319,4.958,2.069,0.667,0.583,1.5,0.5253,0.2273,0.5361,0.7842,0.5293,17.2,0.5879,20.1,0.9,0.5,0.4,1.4,6.2,0.152,
2005-06,roseja01,Jalen Rose,SG,33,2TM,72,45,27.542,12.319,2.931,2.514,0.417,0.181,1.597,0.4234,0.343,0.4503,0.7799,0.4664,13.9,0.5376,21.8,-1.5,0.5,-2.0,0.2,2.5,0.061,
2005-06,harprma01,Matt Harpring,SF,29,UTA,71,32,27.38,12.465,5.183,1.38,0.831,0.197,1.535,0.4749,0.359,0.482,0.7252,0.4853,16.3,0.5425,22.0,-0.6,0.6,-1.2,0.7,4.7,0.116,
2005-06,jonesed02,Eddie Jones,SG,34,MEM,75,75,32.493,11.8,3.72,2.36,1.747,0.36,1.24,0.4044,0.3556,0.4569,0.7814,0.4965,14.7,0.5419,18.1,2.2,-0.1,2.3,2.6,7.2,0.142,
2005-06,fordtj01,T.J. Ford,PG,22,MIL,72,70,35.514,12.194,4.319,6.569,1.444,0.097,3.042,0.4157,0.3365,0.4277,0.754,0.4379,13.1,0.4888,20.0,-1.2,-1.1,-0.1,0.5,2.5,0.047,
2005-06,claxtsp01,Speedy Claxton,PG,27,NOK,71,3,28.437,12.268,2.718,4.775,1.521,0.085,2.169,0.413,0.2698,0.4264,0.7688,0.4246,16.1,0.4967,23.8,0.1,-0.1,0.3,1.1,3.0,0.071,
2005-06,knighbr01,Brevin Knight,PG,30,CHA,69,67,34.072,12.623,3.232,8.841,2.275,0.058,2.377,0.399,0.2308,0.4018,0.8025,0.4009,17.3,0.4785,20.3,1.4,0.4,1.0,2.0,4.9,0.1,
2005-06,willide01,Deron Williams,PG,21,UTA,80,47,28.837,10.8,2.425,4.487,0.75,0.212,1.812,0.4211,0.4155,0.4232,0.7037,0.4776,12.4,0.4998,20.3,-1.7,-0.5,-1.2,0.2,2.8,0.058,1
2005-06,patteru01,Ruben Patterson,SG,30,2TM,71,22,25.239,12.085,3.437,1.789,1.07,0.296,2.113,0.515,0.0769,0.5241,0.6006,0.5157,16.4,0.5474,24.1,-0.5,0.2,-0.8,0.7,2.1,0.056,
2005-06,murraro01,Ronald Murray,SG,26,2TM,76,27,27.789,11.197,2.013,2.592,0.895,0.145,1.776,0.418,0.2624,0.453,0.7107,0.4421,11.5,0.4866,21.7,-3.2,-1.6,-1.6,-0.6,0.7,0.016,
2005-06,goodedr01,Drew Gooden,PF,24,CLE,79,79,27.519,10.696,8.418,0.709,0.658,0.62,1.342,0.5123,0.3333,0.5131,0.6822,0.513,17.6,0.5519,18.6,-0.2,0.5,-0.8,1.0,6.6,0.146,4
2005-06,wallage01,Gerald Wallace,SF,23,CHA,55,52,34.455,15.2,7.491,1.745,2.509,2.091,1.8,0.5382,0.28,0.5622,0.6144,0.5501,21.3,0.5776,19.3,4.9,2.0,2.9,3.2,6.4,0.162,
2005-06,westde01,Delonte West,PG,22,BOS,71,71,34.056,11.775,4.07,4.634,1.183,0.648,1.873,0.4868,0.3853,0.5343,0.8515,0.5482,15.1,0.5738,16.4,1.9,1.2,0.7,2.4,5.7,0.113,
