player_id,player_name,spotrac_id,matched_name,position,confidence
hardati02,Tim Hardaway Jr.,13337,Tim Hardaway Jr.,Shooting Guard,high
hardeja01,James Harden,6312,James Harden,Shooting Guard,high
hardyja02,Jaden Hardy,78130,Jaden Hardy,Shooting Guard,high
harklej01,Elijah Harkless,95564,Elijah Harkless,Point Guard,high
harklma01,Maurice Harkless,10823,Maurice Harkless,Small Forward,high
harpedy01,Dylan Harper,98598,Dylan Harper,Point Guard,high
harremo01,Montrezl Harrell,17860,Montrezl Harrell,Center,high
harrian01,Andrew Harrison,17872,Andrew Harrison,Shooting Guard,high
harride01,Devin Harris,2592,Devin Harris,Point Guard,high
harriga01,Gary Harris,15371,Gary Harris,Shooting Guard,high
harrijo01,Joe Harris,15385,Joe Harris,Shooting Guard,high
harrish01,Shaquille Harrison,21066,Shaquille Harrison,Point Guard,high
harrito02,Tobias Harris,8070,Tobias Harris,Power Forward,high
harteis01,Isaiah Hartenstein,23644,Isaiah Hartenstein,Center,high
hartjo01,Josh Hart,23625,Josh Hart,Shooting Guard,high
hasleud01,Udonis Haslem,2549,Udonis Haslem,Power Forward,high
hausesa01,Sam Hauser,74311,Sam Hauser,Small Forward,high
hawessp01,Spencer Hawes,2690,Spencer Hawes,Power Forward,high
hawkijo01,Jordan Hawkins,82208,Jordan Hawkins,Shooting Guard,high
hayesja02,Jaxson Hayes,31565,Jaxson Hayes,Center,high
hayeski01,Killian Hayes,70649,Killian Hayes,Point Guard,high
haywago01,Gordon Hayward,6891,Gordon Hayward,Small Forward,high
hendege02,Gerald Henderson,6275,Gerald Henderson,Shooting Guard,high
hendesc01,Scoot Henderson,82198,Scoot Henderson,Point Guard,high
hendrta01,Taylor Hendricks,82205,Taylor Hendricks,Power Forward,high
hensojo01,John Henson,10822,John Henson,Power Forward,high
hernaju01,Juancho Hernangómez,20220,Juancho Hernangomez,Power Forward,high
hernawi01,Willy Hernangómez,17863,Willy Hernangomez,Center,high
herroty01,Tyler Herro,31570,Tyler Herro,Shooting Guard,high
hezonma01,Mario Hezonja,17833,Mario Hezonja,Shooting Guard,high
hibbero01,Roy Hibbert,6113,Roy Hibbert,Center,high
hieldbu01,Buddy Hield,20211,Buddy Hield,Shooting Guard,high
highsha01,Haywood Highsmith,28301,Haywood Highsmith,Forward,high
hilarne01,Nenê,6103,Nene Hilario,Center,medium
hillge01,George Hill,6154,George Hill,Point Guard,high
